date,score,total
2025-05-15,9,10
2025-05-16,10,10
2025-05-19,8,10
2025-05-21,7,10
2025-05-22,7,10
2025-05-23,7,10
2025-08-01,8,10
2025-08-04,8,10
2025-08-05,8,10
2025-08-06,8,10
2025-08-07,7,10
2025-08-08,9,10
2025-08-11,9,10
2025-08-12,9,10
2025-08-13,10,10
2025-08-14,5,10
2025-08-18,7,10
2025-08-19,5,10
2025-08-20,8,10
